region,lat,lon,depth_m,area_km2,bottom_temp_c
chukchi,66.0,-169.5,52.4,313.2,1.842
chukchi,66.0,-169.25,52.3,313.2,1.943
chukchi,66.0,-169.0,54.4,313.2,2.398
chukchi,66.0,-168.75,54.6,313.2,3.0
chukchi,66.0,-168.5,55.2,313.2,3.561
chukchi,66.0,-168.25,45.3,313.2,5.115
chukchi,66.0,-168.0,21.7,313.2,6.723
chukchi,66.0,-167.5,20.5,313.2,7.256
chukchi,66.0,-167.25,18.4,313.2,7.317
chukchi,66.0,-167.0,13.9,313.2,7.755
chukchi,66.0,-166.75,11.3,313.2,8.109
chukchi,66.0,-163.5,7.7,313.2,10.652
chukchi,66.0,-163.25,8.4,313.2,10.601
chukchi,66.0,-162.5,8.9,313.2,10.484
chukchi,66.0,-162.25,9.4,313.2,10.909
chukchi,66.0,-161.75,3.9,313.2,11.363
chukchi,66.25,-170.0,44.0,310.1,2.29
chukchi,66.25,-169.5,54.7,310.1,2.028
chukchi,66.25,-169.25,55.9,310.1,2.077
chukchi,66.25,-169.0,55.5,310.1,2.567
chukchi,66.25,-168.75,54.4,310.1,3.205
chukchi,66.25,-168.5,53.7,310.1,3.948
chukchi,66.25,-168.25,37.8,310.1,4.988
chukchi,66.25,-168.0,22.7,310.1,6.184
chukchi,66.25,-167.5,26.2,310.1,6.53
chukchi,66.25,-167.25,28.0,310.1,6.649
chukchi,66.25,-167.0,24.6,310.1,6.961
chukchi,66.25,-166.75,17.4,310.1,7.345
chukchi,66.25,-166.5,15.2,310.1,7.682
chukchi,66.25,-166.25,13.9,310.1,8.224
chukchi,66.25,-163.75,6.2,310.1,10.848
chukchi,66.25,-163.5,12.3,310.1,9.406
chukchi,66.25,-163.25,14.6,310.1,8.939
chukchi,66.25,-163.0,14.1,310.1,8.981
chukchi,66.25,-162.75,13.6,310.1,9.242
chukchi,66.25,-162.5,13.3,310.1,9.691
chukchi,66.25,-162.25,12.3,310.1,10.237
chukchi,66.25,-161.75,4.7,310.1,11.51
chukchi,66.5,-170.75,39.4,307.1,3.082
chukchi,66.5,-170.5,43.4,307.1,2.914
chukchi,66.5,-170.25,45.5,307.1,2.221
chukchi,66.5,-170.0,48.2,307.1,2.112
chukchi,66.5,-169.5,49.6,307.1,2.37
chukchi,66.5,-169.25,47.2,307.1,2.832
chukchi,66.5,-169.0,47.3,307.1,3.366
chukchi,66.5,-168.75,45.2,307.1,3.944
chukchi,66.5,-168.5,39.5,307.1,4.521
chukchi,66.5,-168.25,29.1,307.1,5.046
chukchi,66.5,-168.0,27.0,307.1,5.657
chukchi,66.5,-167.5,28.7,307.1,5.827
chukchi,66.5,-167.25,30.2,307.1,5.913
chukchi,66.5,-167.0,30.2,307.1,6.272
chukchi,66.5,-166.75,27.8,307.1,6.73
chukchi,66.5,-166.5,19.3,307.1,7.077
chukchi,66.5,-166.25,18.6,307.1,7.367
chukchi,66.5,-165.75,19.1,307.1,7.468
chukchi,66.5,-165.5,19.2,307.1,7.793
chukchi,66.5,-165.25,17.2,307.1,7.838
chukchi,66.5,-163.5,19.4,307.1,8.571
chukchi,66.5,-163.25,18.2,307.1,7.019
chukchi,66.5,-163.0,16.3,307.1,7.288
chukchi,66.5,-162.75,14.0,307.1,8.206
chukchi,66.5,-162.5,10.7,307.1,9.288
chukchi,66.5,-162.25,6.8,307.1,10.173
chukchi,66.75,-171.0,40.3,304.0,2.9
chukchi,66.75,-170.75,42.0,304.0,2.225
chukchi,66.75,-170.5,43.1,304.0,2.096
chukchi,66.75,-170.25,44.4,304.0,2.212
chukchi,66.75,-170.0,45.5,304.0,2.522
chukchi,66.75,-169.5,46.9,304.0,2.968
chukchi,66.75,-169.25,46.5,304.0,3.489
chukchi,66.75,-169.0,46.4,304.0,4.051
chukchi,66.75,-168.75,38.8,304.0,4.421
chukchi,66.75,-168.5,33.0,304.0,4.618
chukchi,66.75,-168.25,33.1,304.0,4.801
chukchi,66.75,-168.0,31.8,304.0,4.922
chukchi,66.75,-167.5,35.4,304.0,4.997
chukchi,66.75,-167.25,36.4,304.0,5.136
