zone,forecaster,lead,bin,n,p_mean,o_freq
ai_central,climatology,1,0,148,0.09314381727437143,0.30405405405405406
ai_central,climatology,1,1,147,0.11032547189459564,0.2789115646258503
ai_central,damped_persistence,1,0,193,0.05193824385303467,0.12953367875647667
ai_central,damped_persistence,1,1,27,0.14451537434825926,0.6666666666666666
ai_central,damped_persistence,1,2,6,0.23650678909810788,0.16666666666666666
ai_central,damped_persistence,1,3,3,0.33297836200031256,0.6666666666666666
ai_central,damped_persistence,1,4,4,0.4429718273433627,0.25
ai_central,damped_persistence,1,5,5,0.5411350014458342,0.2
ai_central,damped_persistence,1,6,2,0.6616889023650698,0.5
ai_central,damped_persistence,1,7,4,0.7453816320572895,0.5
ai_central,damped_persistence,1,8,10,0.8398750245059647,0.5
ai_central,damped_persistence,1,9,41,0.9716621664521619,0.7317073170731707
ai_central,persistence,1,0,188,0.04272797433294283,0.1276595744680851
ai_central,persistence,1,1,13,0.1440654070613476,0.3076923076923077
ai_central,persistence,1,2,3,0.2332707092321916,1.0
ai_central,persistence,1,3,1,0.3915929203539823,1.0
ai_central,persistence,1,4,4,0.45681331675742576,0.75
ai_central,persistence,1,5,2,0.5223374311352755,0.5
ai_central,persistence,1,6,1,0.6049382716049383,0.0
ai_central,persistence,1,7,7,0.7508439442997964,0.5714285714285714
ai_central,persistence,1,8,13,0.8485119276204032,0.46153846153846156
ai_central,persistence,1,9,63,0.965468158136792,0.6349206349206349
ai_central,pnt_persistence,1,0,186,0.0400955171342879,0.11290322580645161
ai_central,pnt_persistence,1,1,13,0.13010523652114897,0.6153846153846154
ai_central,pnt_persistence,1,2,3,0.2242193862302474,0.6666666666666666
ai_central,pnt_persistence,1,3,1,0.3649484536082474,0.0
ai_central,pnt_persistence,1,4,3,0.4607664807664807,0.6666666666666666
ai_central,pnt_persistence,1,6,1,0.6421800947867299,0.0
ai_central,pnt_persistence,1,7,6,0.7512688855546847,0.8333333333333334
ai_central,pnt_persistence,1,8,15,0.8568577076126053,0.4666666666666667
ai_central,pnt_persistence,1,9,67,0.9656337547534467,0.6119402985074627
ai_central,climatology,2,0,141,0.09320603436072296,0.2907801418439716
ai_central,climatology,2,1,153,0.10911546485205562,0.29411764705882354
