zone,forecaster,lead,stratum,n_at_risk,n_onset,onset_rate,onset_auc,pod,pofd,far,sedi
ai_central,climatology,1,all,208,35,0.16826923076923078,0.4615194054500413,0.42857142857142855,0.4682080924855491,0.84375,-0.04100645495044189
ai_central,climatology,1,pre2014,130,10,0.07692307692307693,0.4320833333333334,0.3,0.475,0.95,-0.2875176467460889
ai_central,climatology,1,post2014,78,25,0.32051282051282054,0.5283018867924528,0.48,0.4528301886792453,0.6666666666666666,0.12704383740488578
ai_central,climatology,2,all,207,35,0.16908212560386474,0.4769933554817276,0.42857142857142855,0.4418604651162791,0.8351648351648352,0.0289937259322858
ai_central,climatology,2,pre2014,129,10,0.07751937984496124,0.44621848739495795,0.3,0.453781512605042,0.9473684210526315,-0.15008886714870365
ai_central,climatology,2,post2014,78,25,0.32051282051282054,0.5267924528301887,0.48,0.41509433962264153,0.6470588235294118,0.1841902072225414
ai_central,climatology,3,all,206,35,0.16990291262135923,0.4973266499582289,0.45714285714285713,0.43859649122807015,0.8241758241758241,0.019419082031426692
ai_central,climatology,3,pre2014,128,10,0.078125,0.4745762711864407,0.3,0.4322033898305085,0.9444444444444444,-0.14544597536330514
ai_central,climatology,3,post2014,78,25,0.32051282051282054,0.5169811320754716,0.52,0.4528301886792453,0.6486486486486487,0.06650235138620238
ai_central,climatology,6,all,203,35,0.1724137931034483,0.5224489795918368,0.34285714285714286,0.3273809523809524,0.8208955223880597,0.05646042902005189
ai_central,climatology,6,pre2014,125,10,0.08,0.40956521739130436,0.1,0.3130434782608696,0.972972972972973,-0.19092041945484767
ai_central,climatology,6,post2014,78,25,0.32051282051282054,0.5509433962264152,0.44,0.3584905660377358,0.6333333333333333,0.1187074000767782
ai_central,damped_persistence,1,all,208,35,0.16826923076923078,0.7369942196531792,0.2571428571428571,0.03468208092485549,0.4,0.44839083541330366
ai_central,damped_persistence,1,pre2014,130,10,0.07692307692307693,0.69625,0.1,0.016666666666666666,0.6666666666666666,0.2884314780341355
ai_central,damped_persistence,1,post2014,78,25,0.32051282051282054,0.7396226415094339,0.32,0.07547169811320754,0.3333333333333333,0.4183227591190158
ai_central,damped_persistence,2,all,207,35,0.16908212560386474,0.6254152823920266,0.37142857142857144,0.18604651162790697,0.7111111111111111,0.2841783137904132
ai_central,damped_persistence,2,pre2014,129,10,0.07751937984496124,0.46554621848739497,0.1,0.1092436974789916,0.9285714285714286,-0.02083978942550591
ai_central,damped_persistence,2,post2014,78,25,0.32051282051282054,0.6332075471698113,0.48,0.3584905660377358,0.6129032258064516,0.17562457790272226
ai_central,damped_persistence,3,all,206,35,0.16990291262135923,0.6057644110275691,0.4,0.25146198830409355,0.7543859649122807,0.2481760193847219
ai_central,damped_persistence,3,pre2014,128,10,0.078125,0.3432203389830509,0.0,0.11864406779661017,1.0,-0.7179536625864998
ai_central,damped_persistence,3,post2014,78,25,0.32051282051282054,0.5335849056603774,0.56,0.5471698113207547,0.6744186046511628,0.045813444852515546
ai_central,damped_persistence,6,all,203,35,0.1724137931034483,0.6312925170068028,0.5142857142857142,0.34523809523809523,0.7631578947368421,0.2425774969657965
ai_central,damped_persistence,6,pre2014,125,10,0.08,0.4526086956521739,0.1,0.22608695652173913,0.9629629629629629,-0.2328756502213101
ai_central,damped_persistence,6,post2014,78,25,0.32051282051282054,0.5539622641509434,0.68,0.6037735849056604,0.6530612244897959,0.11252481341190759
ai_central,hurdle,1,all,208,35,0.16826923076923078,0.6947976878612717,0.14285714285714285,0.017341040462427744,0.375,0.36379484910370063
ai_central,hurdle,1,pre2014,130,10,0.07692307692307693,0.7424999999999999,0.0,0.0,,-0.0
ai_central,hurdle,1,post2014,78,25,0.32051282051282054,0.7026415094339623,0.2,0.05660377358490566,0.375,0.29965509017520886
ai_central,hurdle,2,all,207,35,0.16908212560386474,0.606063122923588,0.37142857142857144,0.18023255813953487,0.7045454545454546,0.33219184842166793
